英雄名,头像URL
安妮,https://game.gtimg.cn/images/lol/act/img/champion/Annie.png
奥拉夫,https://game.gtimg.cn/images/lol/act/img/champion/Olaf.png
加里奥,https://game.gtimg.cn/images/lol/act/img/champion/Galio.png
崔斯特,https://game.gtimg.cn/images/lol/act/img/champion/TwistedFate.png
赵信,https://game.gtimg.cn/images/lol/act/img/champion/XinZhao.png
厄加特,https://game.gtimg.cn/images/lol/act/img/champion/Urgot.png
乐芙兰,https://game.gtimg.cn/images/lol/act/img/champion/Leblanc.png
弗拉基米尔,https://game.gtimg.cn/images/lol/act/img/champion/Vladimir.png
费德提克,https://game.gtimg.cn/images/lol/act/img/champion/FiddleSticks.png
凯尔,https://game.gtimg.cn/images/lol/act/img/champion/Kayle.png
易,https://game.gtimg.cn/images/lol/act/img/champion/MasterYi.png
阿利斯塔,https://game.gtimg.cn/images/lol/act/img/champion/Alistar.png
瑞兹,https://game.gtimg.cn/images/lol/act/img/champion/Ryze.png
赛恩,https://game.gtimg.cn/images/lol/act/img/champion/Sion.png
希维尔,https://game.gtimg.cn/images/lol/act/img/champion/Sivir.png
索拉卡,https://game.gtimg.cn/images/lol/act/img/champion/Soraka.png
提莫,https://game.gtimg.cn/images/lol/act/img/champion/Teemo.png
崔丝塔娜,https://game.gtimg.cn/images/lol/act/img/champion/Tristana.png
沃里克,https://game.gtimg.cn/images/lol/act/img/champion/Warwick.png
努努和威朗普,https://game.gtimg.cn/images/lol/act/img/champion/Nunu.png
厄运小姐,https://game.gtimg.cn/images/lol/act/img/champion/MissFortune.png
艾希,https://game.gtimg.cn/images/lol/act/img/champion/Ashe.png
泰达米尔,https://game.gtimg.cn/images/lol/act/img/champion/Tryndamere.png
贾克斯,https://game.gtimg.cn/images/lol/act/img/champion/Jax.png
莫甘娜,https://game.gtimg.cn/images/lol/act/img/champion/Morgana.png
基兰,https://game.gtimg.cn/images/lol/act/img/champion/Zilean.png
辛吉德,https://game.gtimg.cn/images/lol/act/img/champion/Singed.png
伊芙琳,https://game.gtimg.cn/images/lol/act/img/champion/Evelynn.png
图奇,https://game.gtimg.cn/images/lol/act/img/champion/Twitch.png
卡尔萨斯,https://game.gtimg.cn/images/lol/act/img/champion/Karthus.png
科加斯,https://game.gtimg.cn/images/lol/act/img/champion/Chogath.png
阿木木,https://game.gtimg.cn/images/lol/act/img/champion/Amumu.png
拉莫斯,https://game.gtimg.cn/images/lol/act/img/champion/Rammus.png
艾尼维亚,https://game.gtimg.cn/images/lol/act/img/champion/Anivia.png
萨科,https://game.gtimg.cn/images/lol/act/img/champion/Shaco.png
蒙多医生,https://game.gtimg.cn/images/lol/act/img/champion/DrMundo.png
娑娜,https://game.gtimg.cn/images/lol/act/img/champion/Sona.png
卡萨丁,https://game.gtimg.cn/images/lol/act/img/champion/Kassadin.png
艾瑞莉娅,https://game.gtimg.cn/images/lol/act/img/champion/Irelia.png
迦娜,https://game.gtimg.cn/images/lol/act/img/champion/Janna.png
普朗克,https://game.gtimg.cn/images/lol/act/img/champion/Gangplank.png
库奇,https://game.gtimg.cn/images/lol/act/img/champion/Corki.png
卡尔玛,https://game.gtimg.cn/images/lol/act/img/champion/Karma.png
塔里克,https://game.gtimg.cn/images/lol/act/img/champion/Taric.png
维迦,https://game.gtimg.cn/images/lol/act/img/champion/Veigar.png
特朗德尔,https://game.gtimg.cn/images/lol/act/img/champion/Trundle.png
斯维因,https://game.gtimg.cn/images/lol/act/img/champion/Swain.png
凯特琳,https://game.gtimg.cn/images/lol/act/img/champion/Caitlyn.png
布里茨,https://game.gtimg.cn/images/lol/act/img/champion/Blitzcrank.png
墨菲特,https://game.gtimg.cn/images/lol/act/img/champion/Malphite.png
卡特琳娜,https://game.gtimg.cn/images/lol/act/img/champion/Katarina.png
魔腾,https://game.gtimg.cn/images/lol/act/img/champion/Nocturne.png
茂凯,https://game.gtimg.cn/images/lol/act/img/champion/Maokai.png
雷克顿,https://game.gtimg.cn/images/lol/act/img/champion/Renekton.png
嘉文四世,https://game.gtimg.cn/images/lol/act/img/champion/JarvanIV.png
伊莉丝,https://game.gtimg.cn/images/lol/act/img/champion/Elise.png
奥莉安娜,https://game.gtimg.cn/images/lol/act/img/champion/Orianna.png
孙悟空,https://game.gtimg.cn/images/lol/act/img/champion/MonkeyKing.png
布兰德,https://game.gtimg.cn/images/lol/act/img/champion/Brand.png
李青,https://game.gtimg.cn/images/lol/act/img/champion/LeeSin.png
薇恩,https://game.gtimg.cn/images/lol/act/img/champion/Vayne.png
兰博,https://game.gtimg.cn/images/lol/act/img/champion/Rumble.png
卡西奥佩娅,https://game.gtimg.cn/images/lol/act/img/champion/Cassiopeia.png
斯卡纳,https://game.gtimg.cn/images/lol/act/img/champion/Skarner.png
黑默丁格,https://game.gtimg.cn/images/lol/act/img/champion/Heimerdinger.png
内瑟斯,https://game.gtimg.cn/images/lol/act/img/champion/Nasus.png
奈德丽,https://game.gtimg.cn/images/lol/act/img/champion/Nidalee.png
乌迪尔,https://game.gtimg.cn/images/lol/act/img/champion/Udyr.png
波比,https://game.gtimg.cn/images/lol/act/img/champion/Poppy.png
古拉加斯,https://game.gtimg.cn/images/lol/act/img/champion/Gragas.png
潘森,https://game.gtimg.cn/images/lol/act/img/champion/Pantheon.png
伊泽瑞尔,https://game.gtimg.cn/images/lol/act/img/champion/Ezreal.png
莫德凯撒,https://game.gtimg.cn/images/lol/act/img/champion/Mordekaiser.png
约里克,https://game.gtimg.cn/images/lol/act/img/champion/Yorick.png
阿卡丽,https://game.gtimg.cn/images/lol/act/img/champion/Akali.png
凯南,https://game.gtimg.cn/images/lol/act/img/champion/Kennen.png
盖伦,https://game.gtimg.cn/images/lol/act/img/champion/Garen.png
蕾欧娜,https://game.gtimg.cn/images/lol/act/img/champion/Leona.png
玛尔扎哈,https://game.gtimg.cn/images/lol/act/img/champion/Malzahar.png
泰隆,https://game.gtimg.cn/images/lol/act/img/champion/Talon.png
锐雯,https://game.gtimg.cn/images/lol/act/img/champion/Riven.png
克格莫,https://game.gtimg.cn/images/lol/act/img/champion/KogMaw.png
慎,https://game.gtimg.cn/images/lol/act/img/champion/Shen.png
拉克丝,https://game.gtimg.cn/images/lol/act/img/champion/Lux.png
泽拉斯,https://game.gtimg.cn/images/lol/act/img/champion/Xerath.png
希瓦娜,https://game.gtimg.cn/images/lol/act/img/champion/Shyvana.png
阿狸,https://game.gtimg.cn/images/lol/act/img/champion/Ahri.png
格雷福斯,https://game.gtimg.cn/images/lol/act/img/champion/Graves.png
菲兹,https://game.gtimg.cn/images/lol/act/img/champion/Fizz.png
沃利贝尔,https://game.gtimg.cn/images/lol/act/img/champion/Volibear.png
雷恩加尔,https://game.gtimg.cn/images/lol/act/img/champion/Rengar.png
韦鲁斯,https://game.gtimg.cn/images/lol/act/img/champion/Varus.png
诺提勒斯,https://game.gtimg.cn/images/lol/act/img/champion/Nautilus.png
维克托,https://game.gtimg.cn/images/lol/act/img/champion/Viktor.png
瑟庄妮,https://game.gtimg.cn/images/lol/act/img/champion/Sejuani.png
菲奥娜,https://game.gtimg.cn/images/lol/act/img/champion/Fiora.png
吉格斯,https://game.gtimg.cn/images/lol/act/img/champion/Ziggs.png
璐璐,https://game.gtimg.cn/images/lol/act/img/champion/Lulu.png
德莱文,https://game.gtimg.cn/images/lol/act/img/champion/Draven.png
赫卡里姆,https://game.gtimg.cn/images/lol/act/img/champion/Hecarim.png
卡兹克,https://game.gtimg.cn/images/lol/act/img/champion/Khazix.png
德莱厄斯,https://game.gtimg.cn/images/lol/act/img/champion/Darius.png
杰斯,https://game.gtimg.cn/images/lol/act/img/champion/Jayce.png
丽桑卓,https://game.gtimg.cn/images/lol/act/img/champion/Lissandra.png
黛安娜,https://game.gtimg.cn/images/lol/act/img/champion/Diana.png
奎因,https://game.gtimg.cn/images/lol/act/img/champion/Quinn.png
辛德拉,https://game.gtimg.cn/images/lol/act/img/champion/Syndra.png
奥瑞利安索尔,https://game.gtimg.cn/images/lol/act/img/champion/AurelionSol.png
凯隐,https://game.gtimg.cn/images/lol/act/img/champion/Kayn.png
佐伊,https://game.gtimg.cn/images/lol/act/img/champion/Zoe.png
婕拉,https://game.gtimg.cn/images/lol/act/img/champion/Zyra.png
卡莎,https://game.gtimg.cn/images/lol/act/img/champion/Kaisa.png
萨勒芬妮,https://game.gtimg.cn/images/lol/act/img/champion/Seraphine.png
纳尔,https://game.gtimg.cn/images/lol/act/img/champion/Gnar.png
扎克,https://game.gtimg.cn/images/lol/act/img/champion/Zac.png
亚索,https://game.gtimg.cn/images/lol/act/img/champion/Yasuo.png
维克兹,https://game.gtimg.cn/images/lol/act/img/champion/Velkoz.png
塔莉垭,https://game.gtimg.cn/images/lol/act/img/champion/Taliyah.png
卡蜜尔,https://game.gtimg.cn/images/lol/act/img/champion/Camille.png
阿克尚,https://game.gtimg.cn/images/lol/act/img/champion/Akshan.png
卑尔维斯,https://game.gtimg.cn/images/lol/act/img/champion/Belveth.png
布隆,https://game.gtimg.cn/images/lol/act/img/champion/Braum.png
烬,https://game.gtimg.cn/images/lol/act/img/champion/Jhin.png
千珏,https://game.gtimg.cn/images/lol/act/img/champion/Kindred.png
泽丽,https://game.gtimg.cn/images/lol/act/img/champion/Zeri.png
金克丝,https://game.gtimg.cn/images/lol/act/img/champion/Jinx.png
塔姆,https://game.gtimg.cn/images/lol/act/img/champion/TahmKench.png
贝蕾亚,https://game.gtimg.cn/images/lol/act/img/champion/Briar.png
佛耶戈,https://game.gtimg.cn/images/lol/act/img/champion/Viego.png
赛娜,https://game.gtimg.cn/images/lol/act/img/champion/Senna.png
卢锡安,https://game.gtimg.cn/images/lol/act/img/champion/Lucian.png
劫,https://game.gtimg.cn/images/lol/act/img/champion/Zed.png
克烈,https://game.gtimg.cn/images/lol/act/img/champion/Kled.png
艾克,https://game.gtimg.cn/images/lol/act/img/champion/Ekko.png
奇亚娜,https://game.gtimg.cn/images/lol/act/img/champion/Qiyana.png
蔚,https://game.gtimg.cn/images/lol/act/img/champion/Vi.png
亚托克斯,https://game.gtimg.cn/images/lol/act/img/champion/Aatrox.png
娜美,https://game.gtimg.cn/images/lol/act/img/champion/Nami.png
阿兹尔,https://game.gtimg.cn/images/lol/act/img/champion/Azir.png
悠米,https://game.gtimg.cn/images/lol/act/img/champion/Yuumi.png
莎弥拉,https://game.gtimg.cn/images/lol/act/img/champion/Samira.png
锤石,https://game.gtimg.cn/images/lol/act/img/champion/Thresh.png
俄洛伊,https://game.gtimg.cn/images/lol/act/img/champion/Illaoi.png
雷克塞,https://game.gtimg.cn/images/lol/act/img/champion/RekSai.png
艾翁,https://game.gtimg.cn/images/lol/act/img/champion/Ivern.png
卡莉丝塔,https://game.gtimg.cn/images/lol/act/img/champion/Kalista.png
巴德,https://game.gtimg.cn/images/lol/act/img/champion/Bard.png
洛,https://game.gtimg.cn/images/lol/act/img/champion/Rakan.png
霞,https://game.gtimg.cn/images/lol/act/img/champion/Xayah.png
奥恩,https://game.gtimg.cn/images/lol/act/img/champion/Ornn.png
塞拉斯,https://game.gtimg.cn/images/lol/act/img/champion/Sylas.png
妮蔻,https://game.gtimg.cn/images/lol/act/img/champion/Neeko.png
厄斐琉斯,https://game.gtimg.cn/images/lol/act/img/champion/Aphelios.png
芮尔,https://game.gtimg.cn/images/lol/act/img/champion/Rell.png
派克,https://game.gtimg.cn/images/lol/act/img/champion/Pyke.png
薇古丝,https://game.gtimg.cn/images/lol/act/img/champion/Vex.png
永恩,https://game.gtimg.cn/images/lol/act/img/champion/Yone.png
安蓓萨,https://game.gtimg.cn/images/lol/act/img/champion/Ambessa.png
梅尔,https://game.gtimg.cn/images/lol/act/img/champion/Mel.png
芸阿娜,https://game.gtimg.cn/images/lol/act/img/champion/Yunara.png
洛克,https://game.gtimg.cn/images/lol/act/img/champion/Locke.png
瑟提,https://game.gtimg.cn/images/lol/act/img/champion/Sett.png
莉莉娅,https://game.gtimg.cn/images/lol/act/img/champion/Lillia.png
格温,https://game.gtimg.cn/images/lol/act/img/champion/Gwen.png
烈娜塔 · 戈拉斯克,https://game.gtimg.cn/images/lol/act/img/champion/Renata.png
阿萝拉,https://game.gtimg.cn/images/lol/act/img/champion/Aurora.png
尼菈,https://game.gtimg.cn/images/lol/act/img/champion/Nilah.png
奎桑提,https://game.gtimg.cn/images/lol/act/img/champion/KSante.png
斯莫德,https://game.gtimg.cn/images/lol/act/img/champion/Smolder.png
米利欧,https://game.gtimg.cn/images/lol/act/img/champion/Milio.png
亚恒,https://game.gtimg.cn/images/lol/act/img/champion/Zaahen.png
彗,https://game.gtimg.cn/images/lol/act/img/champion/Hwei.png
纳亚菲利,https://game.gtimg.cn/images/lol/act/img/champion/Naafiri.png
