# ChooseHextech 套路数据（社区用户套路 data/userjson + 每英雄 1 条常规兜底）
# 生成：collect/scripts/userjson-merge.mts，2026-08-15
# 格式：英雄  套路名  海克斯推荐  装备推荐  对局技巧  作者  适用版本
英雄	套路名	海克斯推荐	装备推荐	对局技巧	作者	适用版本
薇恩	攻速特效流	双发快射、连拨击锤、双刀流、暴击飞弹、升级：无尽之刃、灵巧、更万用的瞄准镜、暴击律动	短剑、狂战士胫甲、破败王者之刃、鬼索的狂暴之刃、兰顿之兆、水银弯刀、千变者贾修、饮血剑	叠满鬼索的狂暴之刃后第三下普攻双触发，站桩连点同一前排更快打出W三环真伤。；用E恶魔审判把贴脸敌人钉墙晕住，再接三环点杀脆皮。；拿到双发快射时把第三环留给满血前排，真实伤害无视护甲收益最高。	社区采集	26.16
格雷福斯	暴击流	亮出你的剑、升级：无尽之刃、灵魂虹吸、暴击飞弹、升级：收集者、珠光护手、会心防御、更万用的瞄准镜	长剑、锯齿短匕、收集者、水银之靴、无尽之刃、千变者贾修、振奋盔甲、水银弯刀	霰弹贴脸才满伤害，用E快速拔枪贴近脆皮再点人，别站远消耗。；两发子弹打完接E装弹重置，保持输出不断档。；拿到升级：收集者后残血收割更稳，把爆发留给低血量目标。	社区采集	26.16
瑟提	战士半肉流	坦克引擎、飞身踢、钢化你心、重量级打击手、歌利亚巨人、星界躯体、大力、黎明使者的坚决	鞋子、净蚀、心之钢、水银之靴、霸王血铠、荆棘之甲、兰顿之兆、自然之力	心之钢贴脸A英雄叠最大生命，兵线混战时别错过每次普攻。；W蓄意轰拳中心真伤最痛，等对面交完控制再放，别被打断。；E把两个敌人拉成直线会晕眩，走位找角度再开团。	社区采集	26.16
凯特琳	暴击攻速流	暴击飞弹、升级：无尽之刃、双发快射、更万用的瞄准镜、灵巧、最万用的瞄准镜、灵魂虹吸、亮出你的剑	暴风之剑、收集者、狂战士胫甲、破败王者之刃、玛莫提乌斯之噬、鬼索的狂暴之刃、智慧末刃、饮血剑	攻速流靠爆头频率打伤害，先点前排叠被动，别急着交E。；鬼索的狂暴之刃叠加后爆头更快，站桩输出注意队友掩护。	社区采集	26.16
提莫	双修流	虚幻武器、大法师、尤里卡、纯粹主义者 - 术师、魔法飞弹、双生火焰、超凡邪恶、无限循环往复	短剑、以太精魂、斯塔缇克电刃、法师之靴、残疫、鬼索的狂暴之刃、灭世者的死亡之帽、虚空之杖	斯塔缇克电刃清线快，混伤让对面难出针对装。；鬼索的狂暴之刃叠加后普攻附毒更快，边走边点别站桩。	社区采集	26.16
布兰德	法术流	炼狱导管、术士果汁盒、冰寒、魔法飞弹、超凡邪恶、尤里卡、巫师式思考、无限循环往复	复用型药水、遗失的章节、黯炎火炬、法师之靴、兰德里的折磨、虚空之杖、灭世者的死亡之帽、女妖面纱	W火柱接E点燃再Q，Q命中燃烧目标必晕，控住突脸刺客。；R火焰之怒等敌方抱团再丢，弹跳触发被动范围爆炸。；黯炎火炬加兰德里的折磨双重灼烧，先E点燃近身前排再走位。	社区采集	26.16
亚索	暴击流	秘术冲拳、狂徒豪气、升级：无尽之刃、渴血、罪恶快感、魔法转物理、无尽大杀四方、质变：棱彩阶	短剑、狂战士胫甲、破败王者之刃、不朽盾弓、兰顿之兆、振奋盔甲、水银弯刀、千变者贾修	被动暴击几率翻倍，无尽之刃收益极高，优先堆满暴击再打架。；Q叠两层旋风后E小兵进场吹风击飞，接R狂风绝息斩。；W风墙挡对面投射物，放队友身前保后排输出。	社区采集	26.16
金克丝	暴击攻速流	暴击飞弹、升级：无尽之刃、双刀流、双发快射、灵巧、连拨击锤、暴击律动、更万用的瞄准镜	暴风之剑、育恩塔尔荒野箭、狂战士胫甲、卢安娜的飓风、不朽盾弓、鬼索的狂暴之刃、智慧末刃、饮血剑	鬼索的狂暴之刃加智慧末刃，叠机枪Q攻速站桩点前排。；不朽盾弓残血给盾，别交闪现躲小伤害，留盾吃爆发。	社区采集	26.16
莫甘娜	法术流	老练狙神、冰寒、魔法飞弹、尤里卡、超凡邪恶、扇巴掌、大法师、狙神飞星	复用型药水、遗失的章节、黯炎火炬、法师之靴、兰德里的折磨、虚空之杖、女妖面纱、灭世者的死亡之帽	Q暗之禁锢命中后立刻在脚下放W，配合兰德里的折磨灼烧。；E黑暗之盾给突进队友或自己免控，开R前先套盾。；R灵魂镣铐开进人堆，靠女妖面纱挡关键控制，二段晕多人。	社区采集	26.16
莉莉娅	法术流	术士果汁盒、炼狱导管、超凡邪恶、魔法飞弹、渴血、急急小子、纯粹主义者 - 术师、无限循环往复	复用型药水、遗失的章节、黯炎火炬、法师之靴、兰德里的折磨、灭世者的死亡之帽、虚空之杖、自然之力	E技能远程标记多名敌人，接R群体沉睡再Q打出爆发。；兰德里的折磨和黯炎火炬持续灼烧，梦尘被动让消耗更痛。；靠自然之力扛住集火，开Q贴脸W收割残血后排。	社区采集	26.16
芸阿娜	暴击攻速流	暴击飞弹、双刀流、双发快射、升级：无尽之刃、连拨击锤、灵魂虹吸、灵巧、暴击律动	复用型药水、缚炉之斧、海妖杀手、狂战士胫甲、卢安娜的飓风、玛莫提乌斯之噬、不朽盾弓、水银弯刀	暂无	社区采集	26.16
厄运小姐	法术流	老练狙神、暴击飞弹、双生火焰、魔法飞弹、大法师、尤里卡、纯粹主义者 - 术师、超凡邪恶	复用型药水、遗失的章节、黯炎火炬、法师之靴、兰德里的折磨、虚空之杖、中娅沙漏、女妖面纱	主E弹幕雨减速并持续灼烧，配合兰德里的折磨消耗。；在狭口开R弹幕时间，女妖面纱防打断保证输出完整。；中娅沙漏金身躲关键技能，等队友跟上再反打。	社区采集	26.16
卢锡安	暴击攻速流	暴击飞弹、升级：无尽之刃、珠光护手、双发快射、升级：收集者、双生火焰、巨人杀手、连拨击锤	复用型药水、缚炉之斧、海妖杀手、狂战士胫甲、纳沃利烁刃、不朽盾弓、岚切、水银弯刀	海妖杀手第三下真伤，配合被动双枪快速叠出特效。；岚切提供减速，E贴脸后接Q-W普攻粘住敌人。；不朽盾弓触发护盾时开R反打，别提前交掉位移。	社区采集	26.16
奥瑞利安·索尔	法术流	术士果汁盒、冰寒、炼狱导管、超凡邪恶、尤里卡、魔法飞弹、无限循环往复、由心及物	复用型药水、遗失的章节、黯炎火炬、法师之靴、瑞莱的冰晶节杖、中娅沙漏、虚空之杖、灭世者的死亡之帽	E黑洞聚怪再接Q龙息持续灼烧，快速叠星尘成长。；瑞莱的冰晶节杖让Q减速敌人，风筝前排保持距离。；中娅沙漏规避集火，团战先R星陨控场再补伤害。	社区采集	26.16
赛恩	半肉坦克流	坦克引擎、飞身踢、重量级打击手、钢化你心、歌利亚巨人、星界躯体、升级：献祭、高压锅	巨人腰带、红水晶、心之钢、水银之靴、巨型九头蛇、自然之力、冰霜之心、兰顿之兆	巨型九头蛇提升清线和团战溅射，配合心之钢叠血输出。；冰霜之心和兰顿降低敌方攻速，为队友扛住爆发。；R进场后Q蓄满击飞，衔接W爆炸打出控制链。	社区采集	26.16
崔斯特	法术流	珠光护手、老练狙神、魔法飞弹、双生火焰、超凡邪恶、术士果汁盒、尤里卡、狂热者	复用型药水、遗失的章节、卢登的回声、法师之靴、巫妖之祸、虚空之杖、女妖面纱、中娅沙漏	黄牌晕人接Q三张牌，巫妖之祸普攻补足爆发。；卢登回声溅射poke，蓝牌回蓝保持续航。；中娅沙漏金身躲集火，R绕后切黄牌开团。	社区采集	26.16
萨勒芬妮	法术流	老练狙神、魔法飞弹、尤里卡、狙神飞星、大法师、超凡邪恶、纯粹主义者 - 术师、无限循环往复	复用型药水、遗失的章节、卢登的回声、法师之靴、兰德里的折磨、虚空之杖、女妖面纱、蜕生	E命中减速后接第二发E定身，再补Q打出二段伤害。；兰德里的折磨持续灼烧，用长手技能安全poke消耗。；R安可命中敌人并沿途延长，团战在密集处先手开。	社区采集	26.16
凯隐	战士半肉流	旋转至胜、全凭身法、牙仙子、狂徒豪气、无尽大杀四方、暗影疾奔、渴血、罪恶快感	长剑、考尔菲德的战锤、星蚀、水银之靴、黑色切割者、千变者贾修、兰顿之兆、自然之力	E暗影步穿墙绕后，Q+W打一套后R钻进残血脱战。；对近战多选红凯吸血站场，星蚀触发护盾换血更赚。；黑色切割者叠破甲，配合千变者贾修能扛能打。	社区采集	26.16
瑞兹	半肉法坦流	溢流、由心及物、术士果汁盒、回归基本功、超凡邪恶、尤里卡、牙仙子、魔法飞弹	爆裂魔杖、复用型药水、女神之泪、时光之杖、水银之靴、大天使之杖、荆棘之甲、千变者贾修	时光之杖和千变者贾修撑坦度，站位靠前吸伤害。；W禁锢关键突进，接Q超负荷反打并叠法力。；荆棘之甲反制普攻，E-E-Q持续溅射输出。	社区采集	26.16
蒙多医生	坦克流	坦克引擎、飞身踢、重量级打击手、钢化你心、歌利亚巨人、星界躯体、升级：献祭、黎明使者的坚决	巨人腰带、红水晶、心之钢、水银之靴、狂徒铠甲、霸王血铠、兰顿之兆、冰霜之心	用Q飞刀远程补刀叠心之钢，别急着贴脸，等敌人被耗残再上去普攻叠层。；开团先交大招回血硬顶，贴脸普攻触发心之钢，越打越肉。；拿到歌利亚巨人体型变大时站队伍最前挡技能，配合心之钢普攻叠层。	社区采集	26.16
