# 国服译名 → 官方 championId 映射（LCU 目录生成）
国服译名,championId
安妮,Annie
奥拉夫,Olaf
加里奥,Galio
崔斯特,TwistedFate
赵信,XinZhao
厄加特,Urgot
乐芙兰,Leblanc
弗拉基米尔,Vladimir
凯尔,Kayle
易,MasterYi
阿利斯塔,Alistar
瑞兹,Ryze
赛恩,Sion
希维尔,Sivir
索拉卡,Soraka
提莫,Teemo
崔丝塔娜,Tristana
沃里克,Warwick
努努和威朗普,Nunu
厄运小姐,MissFortune
艾希,Ashe
泰达米尔,Tryndamere
贾克斯,Jax
莫甘娜,Morgana
基兰,Zilean
辛吉德,Singed
伊芙琳,Evelynn
图奇,Twitch
卡尔萨斯,Karthus
科加斯,Chogath
阿木木,Amumu
拉莫斯,Rammus
艾尼维亚,Anivia
萨科,Shaco
蒙多医生,DrMundo
娑娜,Sona
卡萨丁,Kassadin
艾瑞莉娅,Irelia
迦娜,Janna
普朗克,Gangplank
库奇,Corki
卡尔玛,Karma
塔里克,Taric
维迦,Veigar
特朗德尔,Trundle
斯维因,Swain
凯特琳,Caitlyn
布里茨,Blitzcrank
墨菲特,Malphite
卡特琳娜,Katarina
魔腾,Nocturne
茂凯,Maokai
雷克顿,Renekton
嘉文四世,JarvanIV
伊莉丝,Elise
奥莉安娜,Orianna
孙悟空,MonkeyKing
布兰德,Brand
李青,LeeSin
薇恩,Vayne
兰博,Rumble
卡西奥佩娅,Cassiopeia
斯卡纳,Skarner
黑默丁格,Heimerdinger
内瑟斯,Nasus
奈德丽,Nidalee
乌迪尔,Udyr
波比,Poppy
古拉加斯,Gragas
潘森,Pantheon
伊泽瑞尔,Ezreal
莫德凯撒,Mordekaiser
约里克,Yorick
阿卡丽,Akali
凯南,Kennen
盖伦,Garen
蕾欧娜,Leona
玛尔扎哈,Malzahar
泰隆,Talon
锐雯,Riven
克格莫,KogMaw
慎,Shen
拉克丝,Lux
泽拉斯,Xerath
希瓦娜,Shyvana
阿狸,Ahri
格雷福斯,Graves
菲兹,Fizz
沃利贝尔,Volibear
雷恩加尔,Rengar
韦鲁斯,Varus
诺提勒斯,Nautilus
维克托,Viktor
瑟庄妮,Sejuani
菲奥娜,Fiora
吉格斯,Ziggs
璐璐,Lulu
德莱文,Draven
赫卡里姆,Hecarim
卡兹克,Khazix
德莱厄斯,Darius
杰斯,Jayce
丽桑卓,Lissandra
黛安娜,Diana
奎因,Quinn
辛德拉,Syndra
奥瑞利安·索尔,AurelionSol
凯隐,Kayn
佐伊,Zoe
婕拉,Zyra
卡莎,Kaisa
萨勒芬妮,Seraphine
纳尔,Gnar
扎克,Zac
亚索,Yasuo
维克兹,Velkoz
塔莉垭,Taliyah
卡蜜尔,Camille
阿克尚,Akshan
卑尔维斯,Belveth
布隆,Braum
烬,Jhin
千珏,Kindred
泽丽,Zeri
金克丝,Jinx
塔姆,TahmKench
贝蕾亚,Briar
佛耶戈,Viego
赛娜,Senna
卢锡安,Lucian
劫,Zed
克烈,Kled
艾克,Ekko
奇亚娜,Qiyana
蔚,Vi
亚托克斯,Aatrox
娜美,Nami
阿兹尔,Azir
悠米,Yuumi
莎弥拉,Samira
锤石,Thresh
俄洛伊,Illaoi
雷克塞,RekSai
艾翁,Ivern
卡莉丝塔,Kalista
巴德,Bard
洛,Rakan
霞,Xayah
奥恩,Ornn
塞拉斯,Sylas
妮蔻,Neeko
厄斐琉斯,Aphelios
芮尔,Rell
派克,Pyke
薇古丝,Vex
永恩,Yone
安蓓萨,Ambessa
梅尔,Mel
芸阿娜,Yunara
洛克,Locke
瑟提,Sett
莉莉娅,Lillia
格温,Gwen
烈娜塔 · 戈拉斯克,Renata
阿萝拉,Aurora
尼菈,Nilah
奎桑提,KSante
斯莫德,Smolder
米利欧,Milio
亚恒,Zaahen
彗,Hwei
费德提克,Fiddlesticks
纳亚菲利,Naafiri
