# 海克斯强化名 → 图标 URL（爬取结果直接粘贴；同名强化共用一张图；缺失回退占位图）
强化名,图标URL
哎哟，我的硬币！,https://cdn.dtodo.cn/hextech/augment-icons/youchmycoins_large.png
艾卡西亚的陷落,https://cdn.dtodo.cn/hextech/augment-icons/quest_voidimmolation_large.png
暗影疾奔,https://cdn.dtodo.cn/hextech/augment-icons/shadowrunner_large.png
扳机炼狱,https://cdn.dtodo.cn/hextech/augment-icons/madscientist_large.png
邦！,https://cdn.dtodo.cn/hextech/augment-icons/bonk_large.png
保持坚定,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_silver.png
暴击飞弹,https://cdn.dtodo.cn/hextech/augment-icons/criticalmissile_large.png
暴击律动,https://cdn.dtodo.cn/hextech/augment-icons/criticalrhythm_large.png
别停止引导,https://cdn.dtodo.cn/hextech/augment-icons/dontchangethechannel_large.png
濒死悟道,https://cdn.dtodo.cn/hextech/augment-icons/hellbent_large.png
冰寒,https://cdn.dtodo.cn/hextech/augment-icons/icecold_large.png
冰雪爆裂,https://cdn.dtodo.cn/hextech/augment-icons/snowbomb_large.png
玻璃大炮,https://cdn.dtodo.cn/hextech/augment-icons/glasscannon_large.png
不动如山,https://cdn.dtodo.cn/hextech/augment-icons/impassable_large.png
不祥契约,https://cdn.dtodo.cn/hextech/augment-icons/wisdomofages_large.png
残忍,https://cdn.dtodo.cn/hextech/augment-icons/cruelty_large.png
藏身草丛,https://cdn.dtodo.cn/hextech/augment-icons/brushpower_large.png
超凡邪恶,https://cdn.dtodo.cn/hextech/augment-icons/aram_phenomenalevil_large.png
超负荷,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_prismatic.png
超强大脑,https://cdn.dtodo.cn/hextech/augment-icons/bigbrain_large.png
吵闹鬼,https://cdn.dtodo.cn/hextech/augment-icons/poltergeist_large.png
吃过路兵,https://cdn.dtodo.cn/hextech/augment-icons/dashing_large.png
炽烈黎明,https://cdn.dtodo.cn/hextech/augment-icons/searingdawn_large.png
炽燃利息,https://cdn.dtodo.cn/hextech/augment-icons/bloodmoney2_large.png
穿针引线,https://cdn.dtodo.cn/hextech/augment-icons/threadtheneedle_large.png
纯粹主义者 - 术师,https://cdn.dtodo.cn/hextech/augment-icons/puristcaster_large.png
大地苏醒,https://cdn.dtodo.cn/hextech/augment-icons/earthwake_large.png
大法师,https://cdn.dtodo.cn/hextech/augment-icons/eureka_large.png
大力,https://cdn.dtodo.cn/hextech/augment-icons/bluntforce_large.png
大师铸就,https://cdn.dtodo.cn/hextech/augment-icons/forgedbythemaster_large.png
大招工具人,https://cdn.dtodo.cn/hextech/augment-icons/skipthebasic_large.png
弹球,https://cdn.dtodo.cn/hextech/augment-icons/pinballsnowball_large.png
蛋白粉奶昔,https://cdn.dtodo.cn/hextech/augment-icons/proteinshake_large.png
地形专家,https://cdn.dtodo.cn/hextech/augment-icons/lightningstrikes_large.png
点亮他们！,https://cdn.dtodo.cn/hextech/augment-icons/lightemup_large.png
电涌力场,https://cdn.dtodo.cn/hextech/augment-icons/surgefield_large.png
叠角龙,https://cdn.dtodo.cn/hextech/augment-icons/stackosaurusrex_large.png
多重射击,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_prismatic.png
夺金,https://cdn.dtodo.cn/hextech/augment-icons/goldrend_large.png
防护面纱,https://cdn.dtodo.cn/hextech/augment-icons/poltergeist_large.png
飞身踢,https://cdn.dtodo.cn/hextech/augment-icons/dropkick_large.png
飞升仪式,https://cdn.dtodo.cn/hextech/augment-icons/glasscannon_large.png
风语者的祝福,https://cdn.dtodo.cn/hextech/augment-icons/windspeakersblessing_large.png
俯冲轰炸,https://cdn.dtodo.cn/hextech/augment-icons/divebomber_large.png
钢化你心,https://cdn.dtodo.cn/hextech/augment-icons/quest_steelyourheart_large.png
高压锅,https://cdn.dtodo.cn/hextech/augment-icons/questpressurecooker_large.png
歌利亚巨人,https://cdn.dtodo.cn/hextech/augment-icons/goliath_large.png
更万用的瞄准镜,https://cdn.dtodo.cn/hextech/augment-icons/scopierweapons_large.png
关键暴击,https://cdn.dtodo.cn/hextech/augment-icons/itscritical_large.png
过量延伸者,https://cdn.dtodo.cn/hextech/augment-icons/overextender_large.png
海克斯科技龙魂,https://cdn.dtodo.cn/hextech/augment-icons/infernalsoul_large.png
海牛阿福的勇士,https://cdn.dtodo.cn/hextech/augment-icons/quest_urfschampion_large.png
海洋龙魂,https://cdn.dtodo.cn/hextech/augment-icons/oceansoul_large.png
豪猪,https://cdn.dtodo.cn/hextech/augment-icons/pincushion_large.png
和我一起困在这里,https://cdn.dtodo.cn/hextech/augment-icons/stuckinherewithme_large.png
虹吸,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_silver.png
回归基本功,https://cdn.dtodo.cn/hextech/augment-icons/backtobasics_large.png
回力OK镖,https://cdn.dtodo.cn/hextech/augment-icons/okboomerang_large.png
回响施放,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_prismatic.png
会心防御,https://cdn.dtodo.cn/hextech/augment-icons/tankitorleaveit_large.png
会心治疗,https://cdn.dtodo.cn/hextech/augment-icons/criticalhealing_large.png
活力焕发,https://cdn.dtodo.cn/hextech/augment-icons/rabblerousing_large.png
火狐,https://cdn.dtodo.cn/hextech/augment-icons/firfox_large.png
火上浇油,https://cdn.dtodo.cn/hextech/augment-icons/firebrand_large.png
急急小子,https://cdn.dtodo.cn/hextech/augment-icons/withhaste_large.png
急救用具,https://cdn.dtodo.cn/hextech/augment-icons/firstaidkit_large.png
急速之追求,https://cdn.dtodo.cn/hextech/augment-icons/genericabilityaugmenticon_gold.png
