装备名,图标URL
黯炎火炬,https://game.gtimg.cn/images/lol/act/img/item/2503.png
黯影阔剑,https://game.gtimg.cn/images/lol/act/img/item/3179.png
霸王血铠,https://game.gtimg.cn/images/lol/act/img/item/2501.png
败魔,https://game.gtimg.cn/images/lol/act/img/item/2504.png
班德尔玻璃镜,https://game.gtimg.cn/images/lol/act/img/item/4642.png
班德尔音管,https://game.gtimg.cn/images/lol/act/img/item/2524.png
斑比的熔渣,https://game.gtimg.cn/images/lol/act/img/item/6660.png
暴风之剑,https://game.gtimg.cn/images/lol/act/img/item/1038.png
暴食胫甲,https://game.gtimg.cn/images/lol/act/img/item/3008.png
爆裂魔杖,https://game.gtimg.cn/images/lol/act/img/item/1026.png
冰川圆盾,https://game.gtimg.cn/images/lol/act/img/item/3024.png
冰脉护手,https://game.gtimg.cn/images/lol/act/img/item/6662.png
冰霜之心,https://game.gtimg.cn/images/lol/act/img/item/3110.png
不朽盾弓,https://game.gtimg.cn/images/lol/act/img/item/6673.png
不朽之路,https://game.gtimg.cn/images/lol/act/img/item/3168.png
布甲,https://game.gtimg.cn/images/lol/act/img/item/1029.png
残暴之力,https://game.gtimg.cn/images/lol/act/img/item/2020.png
残疫,https://game.gtimg.cn/images/lol/act/img/item/3118.png
斥候弹弓,https://game.gtimg.cn/images/lol/act/img/item/3144.png
炽热香炉,https://game.gtimg.cn/images/lol/act/img/item/3504.png
璀璨回响,https://game.gtimg.cn/images/lol/act/img/item/6664.png
萃取,https://game.gtimg.cn/images/lol/act/img/item/1083.png
翠绿屏障,https://game.gtimg.cn/images/lol/act/img/item/4632.png
大天使之杖,https://game.gtimg.cn/images/lol/act/img/item/3003.png
带链碾碎者,https://game.gtimg.cn/images/lol/act/img/item/3173.png
带翼的月板甲,https://game.gtimg.cn/images/lol/act/img/item/3066.png
帝国指令,https://game.gtimg.cn/images/lol/act/img/item/4005.png
电震涡流剑,https://game.gtimg.cn/images/lol/act/img/item/6699.png
短剑,https://game.gtimg.cn/images/lol/act/img/item/1042.png
多兰之盾,https://game.gtimg.cn/images/lol/act/img/item/1054.png
多兰之弓,https://game.gtimg.cn/images/lol/act/img/item/1086.png
多兰之戒,https://game.gtimg.cn/images/lol/act/img/item/1056.png
多兰之盔,https://game.gtimg.cn/images/lol/act/img/item/1120.png
多兰之刃,https://game.gtimg.cn/images/lol/act/img/item/1055.png
多米尼克领主的致意,https://game.gtimg.cn/images/lol/act/img/item/3036.png
夺萃之镰,https://game.gtimg.cn/images/lol/act/img/item/3508.png
恶魔法典,https://game.gtimg.cn/images/lol/act/img/item/3108.png
耳语头环,https://game.gtimg.cn/images/lol/act/img/item/2526.png
法师之靴,https://game.gtimg.cn/images/lol/act/img/item/3020.png
凡性的提醒,https://game.gtimg.cn/images/lol/act/img/item/3033.png
反曲之弓,https://game.gtimg.cn/images/lol/act/img/item/1043.png
放血者的诅咒,https://game.gtimg.cn/images/lol/act/img/item/8010.png
焚天,https://game.gtimg.cn/images/lol/act/img/item/6610.png
愤怒合剂,https://game.gtimg.cn/images/lol/act/img/item/2140.png
风暴狂涌,https://game.gtimg.cn/images/lol/act/img/item/4646.png
风行狐幼体,https://game.gtimg.cn/images/lol/act/img/item/1102.png
负极斗篷,https://game.gtimg.cn/images/lol/act/img/item/1057.png
复用型药水,https://game.gtimg.cn/images/lol/act/img/item/2031.png
缚炉之斧,https://game.gtimg.cn/images/lol/act/img/item/3051.png
钢铁合剂,https://game.gtimg.cn/images/lol/act/img/item/2138.png
钢铁烈阳之匣,https://game.gtimg.cn/images/lol/act/img/item/3190.png
钢铁印章,https://game.gtimg.cn/images/lol/act/img/item/2019.png
公理圆弧,https://game.gtimg.cn/images/lol/act/img/item/6696.png
鬼索的狂暴之刃,https://game.gtimg.cn/images/lol/act/img/item/3124.png
海克斯镜片 C44,https://game.gtimg.cn/images/lol/act/img/item/2523.png
海克斯科技发电机,https://game.gtimg.cn/images/lol/act/img/item/3145.png
海克斯科技火箭腰带,https://game.gtimg.cn/images/lol/act/img/item/3152.png
海克斯科技枪刃,https://game.gtimg.cn/images/lol/act/img/item/3146.png
海克斯饮魔刀,https://game.gtimg.cn/images/lol/act/img/item/3155.png
海克斯注力刚壁,https://game.gtimg.cn/images/lol/act/img/item/3073.png
海力亚的回响,https://game.gtimg.cn/images/lol/act/img/item/6620.png
海妖杀手,https://game.gtimg.cn/images/lol/act/img/item/6672.png
黑暗封印,https://game.gtimg.cn/images/lol/act/img/item/1082.png
黑色切割者,https://game.gtimg.cn/images/lol/act/img/item/3071.png
红水晶,https://game.gtimg.cn/images/lol/act/img/item/1028.png
幻影之舞,https://game.gtimg.cn/images/lol/act/img/item/3046.png
黄昏与黎明,https://game.gtimg.cn/images/lol/act/img/item/2510.png
基克的聚合,https://game.gtimg.cn/images/lol/act/img/item/3050.png
疾射火炮,https://game.gtimg.cn/images/lol/act/img/item/3094.png
棘刺背心,https://game.gtimg.cn/images/lol/act/img/item/3076.png
剑翎,https://game.gtimg.cn/images/lol/act/img/item/6690.png
界弓,https://game.gtimg.cn/images/lol/act/img/item/3302.png
禁忌雕像,https://game.gtimg.cn/images/lol/act/img/item/3114.png
荆棘之甲,https://game.gtimg.cn/images/lol/act/img/item/3075.png
晶体护腕,https://game.gtimg.cn/images/lol/act/img/item/3801.png
净蚀,https://game.gtimg.cn/images/lol/act/img/item/3044.png
救赎,https://game.gtimg.cn/images/lol/act/img/item/3107.png
巨人腰带,https://game.gtimg.cn/images/lol/act/img/item/1011.png
巨蛇之牙,https://game.gtimg.cn/images/lol/act/img/item/6695.png
巨型九头蛇,https://game.gtimg.cn/images/lol/act/img/item/3748.png
锯齿短匕,https://game.gtimg.cn/images/lol/act/img/item/3134.png
掘道钻头,https://game.gtimg.cn/images/lol/act/img/item/2021.png
抗魔斗篷,https://game.gtimg.cn/images/lol/act/img/item/1033.png
考尔菲德的战锤,https://game.gtimg.cn/images/lol/act/img/item/3133.png
控制守卫,https://game.gtimg.cn/images/lol/act/img/item/2055.png
枯萎珠宝,https://game.gtimg.cn/images/lol/act/img/item/4630.png
狂热,https://game.gtimg.cn/images/lol/act/img/item/3086.png
狂徒铠甲,https://game.gtimg.cn/images/lol/act/img/item/3083.png
狂妄,https://game.gtimg.cn/images/lol/act/img/item/6697.png
狂战士胫甲,https://game.gtimg.cn/images/lol/act/img/item/3006.png
兰德里的折磨,https://game.gtimg.cn/images/lol/act/img/item/6653.png
兰顿之兆,https://game.gtimg.cn/images/lol/act/img/item/3143.png
岚切,https://game.gtimg.cn/images/lol/act/img/item/3097.png
蓝水晶,https://game.gtimg.cn/images/lol/act/img/item/1027.png
黎明核心,https://game.gtimg.cn/images/lol/act/img/item/6621.png
炼金朋克链锯剑,https://game.gtimg.cn/images/lol/act/img/item/6609.png
猎魔人弩箭,https://game.gtimg.cn/images/lol/act/img/item/2512.png
裂隙制造者,https://game.gtimg.cn/images/lol/act/img/item/4633.png
凛冬之临,https://game.gtimg.cn/images/lol/act/img/item/3119.png
灵能使之靴,https://game.gtimg.cn/images/lol/act/img/item/3175.png
灵巧披风,https://game.gtimg.cn/images/lol/act/img/item/1018.png
流水法杖,https://game.gtimg.cn/images/lol/act/img/item/6616.png
