NumericId,Name,Gt,Oss,Dd
1,安妮,https://game.gtimg.cn/images/lol/act/img/champion/Annie.png,https://ossweb-img.qq.com/images/lol/img/champion/Annie.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/Annie.png
2,奥拉夫,https://game.gtimg.cn/images/lol/act/img/champion/Olaf.png,https://ossweb-img.qq.com/images/lol/img/champion/Olaf.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/Olaf.png
3,加里奥,https://game.gtimg.cn/images/lol/act/img/champion/Galio.png,https://ossweb-img.qq.com/images/lol/img/champion/Galio.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/Galio.png
4,崔斯特,https://game.gtimg.cn/images/lol/act/img/champion/TwistedFate.png,https://ossweb-img.qq.com/images/lol/img/champion/TwistedFate.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/TwistedFate.png
5,赵信,https://game.gtimg.cn/images/lol/act/img/champion/XinZhao.png,https://ossweb-img.qq.com/images/lol/img/champion/XinZhao.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/XinZhao.png
6,厄加特,https://game.gtimg.cn/images/lol/act/img/champion/Urgot.png,https://ossweb-img.qq.com/images/lol/img/champion/Urgot.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/Urgot.png
7,乐芙兰,https://game.gtimg.cn/images/lol/act/img/champion/Leblanc.png,https://ossweb-img.qq.com/images/lol/img/champion/Leblanc.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/Leblanc.png
8,弗拉基米尔,https://game.gtimg.cn/images/lol/act/img/champion/Vladimir.png,https://ossweb-img.qq.com/images/lol/img/champion/Vladimir.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/Vladimir.png
9,费德提克,https://game.gtimg.cn/images/lol/act/img/champion/FiddleSticks.png,https://ossweb-img.qq.com/images/lol/img/champion/FiddleSticks.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/Fiddlesticks.png
10,凯尔,https://game.gtimg.cn/images/lol/act/img/champion/Kayle.png,https://ossweb-img.qq.com/images/lol/img/champion/Kayle.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/Kayle.png
11,易,https://game.gtimg.cn/images/lol/act/img/champion/MasterYi.png,https://ossweb-img.qq.com/images/lol/img/champion/MasterYi.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/MasterYi.png
12,阿利斯塔,https://game.gtimg.cn/images/lol/act/img/champion/Alistar.png,https://ossweb-img.qq.com/images/lol/img/champion/Alistar.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/Alistar.png
13,瑞兹,https://game.gtimg.cn/images/lol/act/img/champion/Ryze.png,https://ossweb-img.qq.com/images/lol/img/champion/Ryze.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/Ryze.png
14,赛恩,https://game.gtimg.cn/images/lol/act/img/champion/Sion.png,https://ossweb-img.qq.com/images/lol/img/champion/Sion.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/Sion.png
15,希维尔,https://game.gtimg.cn/images/lol/act/img/champion/Sivir.png,https://ossweb-img.qq.com/images/lol/img/champion/Sivir.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/Sivir.png
16,索拉卡,https://game.gtimg.cn/images/lol/act/img/champion/Soraka.png,https://ossweb-img.qq.com/images/lol/img/champion/Soraka.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/Soraka.png
17,提莫,https://game.gtimg.cn/images/lol/act/img/champion/Teemo.png,https://ossweb-img.qq.com/images/lol/img/champion/Teemo.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/Teemo.png
18,崔丝塔娜,https://game.gtimg.cn/images/lol/act/img/champion/Tristana.png,https://ossweb-img.qq.com/images/lol/img/champion/Tristana.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/Tristana.png
19,沃里克,https://game.gtimg.cn/images/lol/act/img/champion/Warwick.png,https://ossweb-img.qq.com/images/lol/img/champion/Warwick.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/Warwick.png
20,努努和威朗普,https://game.gtimg.cn/images/lol/act/img/champion/Nunu.png,https://ossweb-img.qq.com/images/lol/img/champion/Nunu.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/Nunu.png
21,厄运小姐,https://game.gtimg.cn/images/lol/act/img/champion/MissFortune.png,https://ossweb-img.qq.com/images/lol/img/champion/MissFortune.png,https://ddragon.leagueoflegends.com/cdn/16.16.1/img/champion/MissFortune.png
